model,source,num_predictions,rmse,mae,rfne,acc,max_abs_error,p99_abs_error_mean,p99_abs_error_max,psnr_global,psnr_mean,ssim_mean,peak_ratio_mean,rmse_reduction_percent,rfne_reduction_percent,acc_delta
ResShift200ep,Interp,200,0.042566266695685154,0.011526591040512991,1.058996941294824,0.29484368480638856,13.36616325378418,0.12402925658544113,0.26741113796829935,50.08171284805165,31.405216754045295,0.7458027417107911,0.8610455690097467,,,
ResShift200ep,ResShift200ep,200,0.01952356413181052,0.0074039093040152125,0.4857225287473118,0.8772633970794389,10.667669296264648,0.06252342276094885,0.12406182859092943,56.85184201563626,37.371021861354414,0.8628513783229814,0.9592399794307211,54.1337174999871,54.133717501207734,0.5824197122730503
CNNRefinedV1,Interp,200,0.042566266695685154,0.011526591040512991,1.058996941294824,0.29484368480638856,13.36616325378418,0.12402925658544113,0.26741113796829935,50.08171284805165,31.405216754045295,0.7458027417107911,0.8610455690097467,,,
CNNRefinedV1,CNNRefinedV1,200,0.018895786333756128,0.006922757189446434,0.4701041807088218,0.8829456286155559,10.070524215698242,0.06019273807755256,0.12295546475797847,57.13572469368546,37.69771903077303,0.8692544088016154,0.9340975580028993,55.608542159917356,55.60854216117124,0.5881019438091674
CNNRefinedV2,Interp,200,0.042566266695685154,0.011526591040512991,1.058996941294824,0.29484368480638856,13.36616325378418,0.12402925658544113,0.26741113796829935,50.08171284805165,31.405216754045295,0.7458027417107911,0.8610455690097467,,,
CNNRefinedV2,CNNRefinedV2,200,0.02131137876414791,0.008554530384932986,0.5302011822496954,0.8643981125188251,11.149839401245117,0.07026110323056266,0.13419937461614573,56.090793126871084,36.41968909008655,0.8355705874506492,1.0278012642433811,49.93364365964579,49.933643660771715,0.5695544277124366
