radial_frequency,Interp,Direct SR,Residual SR
0.004419417382422172,0.003909819242895891,0.003670251908082416,0.005386988890946716
0.013258252147266517,0.003983262506653309,0.000768428917136853,0.001202157849424461
0.02209708691211086,0.003983254662077742,0.0006637357598201414,0.0008035966336214138
0.030935921676955205,0.003980208484965188,0.000618387998684747,0.0007438698612286851
0.03977475644179955,0.003907362432644502,0.0005897961656426039,0.0006650506157083449
0.048613591206643894,0.00386916649349803,0.000589807591821712,0.000643077466095486
0.05745242597148824,0.0038288067557501154,0.0005768343558051323,0.0006220843712899254
0.06629126073633258,0.003697078455861107,0.0005684127294168152,0.0006140602957277613
0.07513009550117693,0.0036028507925238823,0.000563709563351913,0.0005995129310940829
0.08396893026602127,0.003540103658474742,0.0005692679399903434,0.0006013586494083804
0.09280776503086562,0.003451243369646123,0.0005754177280434732,0.0005992815674204897
0.10164659979570996,0.003278913485722865,0.0005679092281981513,0.0005924730091563724
0.1104854345605543,0.0031231975238306185,0.0005609462274577515,0.0005897935719904907
0.11932426932539865,0.0030113613669156387,0.0005549931225850444,0.0005851091174430359
0.128163104090243,0.002893514005361032,0.0005631904947007499,0.0005878879279702946
0.13700193885508732,0.0027471473354609005,0.0005617533765289882,0.0005818121897270643
0.1458407736199317,0.0025980499507779887,0.0005675472989436472,0.0005862677023180723
0.154679608384776,0.002464556898551382,0.0005680987757826154,0.0005862939977884804
0.16351844314962038,0.0023461739844804685,0.0005745099742683081,0.0005916646770917174
0.1723572779144647,0.0021868916458581524,0.0005714476288606932,0.0005892613531236022
0.18119611267930907,0.0020686256341712434,0.0005757724406339451,0.0005909510580652414
0.1900349474441534,0.0019553521985810848,0.0005796790497300027,0.0005923811462387482
0.19887378220899776,0.0018434712175837654,0.0005814634730566772,0.0005922017163577802
0.20771261697384208,0.0017342362812777497,0.0005814332208560435,0.0005906579102668086
0.21655145173868645,0.0016419267289372514,0.000588832884121677,0.0005973622157193757
0.22539028650353077,0.001537359914362047,0.000590149797335753,0.0006009986309122379
0.23422912126837514,0.0014412265507690485,0.0005880787359257755,0.0006006337126750595
0.24306795603321946,0.0013617464035639423,0.0005923231254347756,0.0006052372473771036
0.25190679079806383,0.0012813076026572461,0.0005957653886523237,0.0006087698820875976
0.26074562556290815,0.0012044117787631682,0.0005919898433775708,0.0006010745755193713
0.2695844603277525,0.0011417251069083124,0.0005975936102432504,0.0006066333407211195
0.27842329509259683,0.0010913802957608783,0.0006036802412765263,0.0006075614061294237
0.2872621298574412,0.0010417714876104433,0.0005992152927357753,0.0006041335615028884
0.2961009646222855,0.0010060182195549552,0.0005966298314890713,0.000599561759942682
0.3049397993871299,0.0009760119042937389,0.0005954693619866353,0.0005975793264890885
0.3137786341519742,0.0009527838229643131,0.0005895071911061821,0.0005923866914133548
0.3226174689168186,0.0009476722527766846,0.0005841854802543725,0.0005847262536395986
0.3314563036816629,0.0009354612898744591,0.0005832907078578708,0.0005838014653023357
0.3402951384465073,0.0009307690939536078,0.0005795812305661231,0.0005798916258192021
0.3491339732113516,0.0009317337550404618,0.0005698431862238548,0.0005698169283973518
0.35797280797619596,0.0009365911724225832,0.0005583376075985978,0.0005589329934801752
0.3668116427410403,0.0009462656815967022,0.0005490244815359531,0.0005496752524644064
0.37565047750588465,0.0009627203254496078,0.0005432741057081858,0.0005433684991481689
0.38448931227072897,0.0009808748885231982,0.0005322050527656674,0.000533933318098701
0.39332814703557334,0.0010057807305889688,0.0005231493507709172,0.0005250887116079739
0.40216698180041766,0.0010324014763356925,0.00051531032963303,0.0005173725627713198
0.411005816565262,0.0010568006376364617,0.000506427726396771,0.000508926957329532
0.41984465133010634,0.0010881126522462093,0.0004998764400975885,0.0005016645681916462
0.4286834860949507,0.0011113020043997928,0.0004950393583190755,0.000495906167509702
0.43752232085979503,0.0011376625393374053,0.0004873289225798242,0.0004897247782867471
0.4463611556246394,0.0011727364136042383,0.0004857444956300691,0.00048965999218556
0.4551999903894837,0.0012067090325180508,0.00048242470348970796,0.0004868502877384713
