model,source,num_predictions,rmse,mae,rfne,acc,max_abs_error,p99_abs_error_mean,p99_abs_error_max,psnr_global,psnr_mean,ssim_mean,peak_ratio_mean,rmse_reduction_percent,rfne_reduction_percent,acc_delta
Direct,Interp,1200,0.03730328121778187,0.010567902625068083,1.05308043187412,0.3016730998264924,13.36616325378418,0.11150234298993557,0.2829527564346759,51.228083397390506,31.00361098624545,0.7384338538734304,0.8531893873435632,,,
Direct,Direct,1200,0.022614417363549442,0.008590383429192664,0.6384103388855809,0.7704077146127822,8.661565780639648,0.07201479681456567,0.1773106446862218,55.575316021150876,34.55447150679025,0.7914130253804271,0.8892743796624196,39.37686813147342,39.37686813249161,0.46873461478628986
Residual,Interp,1200,0.03730328121778187,0.010567902625068083,1.05308043187412,0.3016730998264924,13.36616325378418,0.11150234298993557,0.2829527564346759,51.228083397390506,31.00361098624545,0.7384338538734304,0.8531893873435632,,,
Residual,Residual,1200,0.022784657957799565,0.008934761270805239,0.6432162710358595,0.7675721820834016,9.30756950378418,0.07285353549528965,0.18110411591827846,55.51017381576244,34.492136310321776,0.7950449572534531,0.8942836464628696,38.920499177622766,38.92049917862916,0.46589908225690924
