label,observed_ratio,rmse,mae,rfne,acc,missing_rmse,active_missing_rmse,ssim_mean,peak_ratio_mean,p99_abs_error_mean,max_abs_error
regular25,0.25,0.03730328121778187,0.010567902625068083,1.05308043187412,0.3016730998264924,0.04307411890548535,0.06074870640537843,0.7384338538734304,0.8531893873435632,0.11150234298993557,13.36616325378418
random25,0.25,0.03750966710888633,0.011187251085974364,1.0589067542844233,0.3048892679503553,0.04331243280505754,0.0609255051727076,0.7105885130234944,0.8348913395526646,0.11636402745378395,8.416608721017838
jittered25,0.25,0.03748689605404756,0.010969593379786275,1.058263922032648,0.3043981465998963,0.04328613905577575,0.06093553484301517,0.7240772910136569,0.8406220307717567,0.11470914375096629,11.01554560661316
